PERSON_ID,DISPLAY_FIRST_LAST,FROM_YEAR,TO_YEAR
76001,Alaa Abdelnaby,1990,1994
51,Mahmoud Abdul-Rauf,1990,2000
1505,Tariq Abdul-Wahad,1997,2003
949,Shareef Abdur-Rahim,1996,2007
203518,Alex Abrines,2016,2018
1630173,Precious Achiuwa,2020,2024
101165,Alex Acker,2005,2008
76009,Mark Acres,1987,1992
203112,Quincy Acy,2012,2018
200801,Hassan Adams,2006,2008
1629121,Jaylen Adams,2018,2020
203919,Jordan Adams,2014,2015
149,Michael Adams,1985,1995
203500,Steven Adams,2013,2024
912,Rafael Addison,1986,1996
1628389,Bam Adebayo,2017,2024
1629061,Deng Adel,2018,2018
202399,Jeff Adrien,2010,2014
201167,Arron Afflalo,2007,2017
1630534,Ochai Agbaji,2022,2024
200772,Maurice Ager,2006,2010
76016,Mark Aguirre,1981,1993
201336,Blake Ahearn,2007,2011
76017,Danny Ainge,1981,1994
201582,Alexis Ajinca,2008,2017
203006,Josh Akognon,2012,2012
1629152,DeVaughn Akoon-Purcell,2018,2018
202374,Solomon Alabi,2010,2011
76019,Mark Alarie,1986,1990
1630583,Santi Aldama,2021,2024
203128,Furkan Aldemir,2014,2014
202332,Cole Aldrich,2010,2017
200746,LaMarcus Aldridge,2006,2021
76021,Chuck Aleksinas,1984,1984
1626146,Cliff Alexander,2015,2015
724,Cory Alexander,1995,2004
2042,Courtney Alexander,2000,2003
76022,Gary Alexander,1993,1993
201570,Joe Alexander,2008,2009
1629734,Kyle Alexander,2019,2019
1641725,Trey Alexander,2024,2024
1630234,Ty-Shon Alexander,2020,2020
2349,Victor Alexander,1991,2001
1629638,Nickeil Alexander-Walker,2019,2024
76024,Steve Alford,1987,1990
1628959,Rawle Alkins,2018,2018
1628960,Grayson Allen,2018,2024
1628386,Jarrett Allen,2017,2024
706,Jerome Allen,1995,1996
1628443,Kadeem Allen,2017,2019
202730,Lavoy Allen,2011,2016
2124,Malik Allen,2001,2010
76025,Randy Allen,1988,1989
951,Ray Allen,1996,2013
1641851,Timmy Allen,2023,2023
2754,Tony Allen,2004,2017
200984,Lance Allred,2007,2007
76030,Darrell Allums,1980,1980
201165,Morris Almond,2007,2011
308,Derrick Alston,1994,1996
1747,Rafer Alston,1999,2009
1824,Peter Aluma,1998,1998
1630631,Jose Alvarado,2021,2024
680,John Amaechi,1995,2002
732,Ashraf Amaya,1995,1996
202329,Al-Farouq Aminu,2010,2020
200811,Lou Amundson,2006,2015
2365,Chris Andersen,2001,2016
2431,David Andersen,2009,2010
101187,Alan Anderson,2005,2016
202079,Antonio Anderson,2009,2009
1507,Derek Anderson,1997,2007
76037,Dwight Anderson,1982,1982
944,Eric Anderson,1992,1993
246,Greg Anderson,1987,1997
202341,James Anderson,2010,2015
1626147,Justin Anderson,2015,2021
72,Kenny Anderson,1991,2004
203937,Kyle Anderson,2014,2024
76042,Michael Anderson,1988,1988
76043,Mitchell Anderson,1982,1984
98,Nick Anderson,1989,2002
76045,Richard Anderson,1982,1989
76046,Ron Anderson,1984,1993
201583,Ryan Anderson,2008,2019
1000,Shandon Anderson,1996,2005
335,Willie Anderson,1988,1996
101149,Martynas Andriuskevicius,2005,2006
1628387,Ike Anigbogu,2017,2018
76050,Michael Ansley,1989,1991
1512,Chris Anstey,1997,1999
203507,Giannis Antetokounmpo,2013,2024
1628961,Kostas Antetokounmpo,2018,2020
203648,Thanasis Antetokounmpo,2015,2023
2546,Carmelo Anthony,2003,2021
1630175,Cole Anthony,2020,2024
21,Greg Anthony,1991,2001
201202,Joel Anthony,2007,2016
203544,Pero Antic,2013,2014
1628384,OG Anunoby,2017,2024
203951,Keith Appling,2015,2015
2737,Rafael Araujo,2004,2006
2425,Robert Archibald,2002,2003
1627853,Ryan Arcidiacono,2017,2023
2240,Gilbert Arenas,2001,2011
2772,Trevor Ariza,2004,2021
76057,Joe Arlauckas,1987,1987
769,B.J. Armstrong,1989,1999
2220,Brandon Armstrong,2001,2003
353,Darrell Armstrong,1994,2007
200756,Hilton Armstrong,2006,2013
1642379,Taran Armstrong,2024,2024
2306,Carlos Arroyo,2001,2010
201589,Darrell Arthur,2008,2017
1628503,Jamel Artis,2017,2017
201600,Omer Asik,2010,2017
355,Vincent Askew,1987,1997
173,Keith Askins,1990,1998
1088,Chucky Atkins,1999,2009
278,Stacey Augmon,1991,2005
201571,D.J. Augustin,2008,2022
200788,James Augustine,2006,2007
1134,Ike Austin,1991,2001
76074,Ken Austin,1983,1983
1630166,Deni Avdija,2020,2024
138,Anthony Avent,1992,1999
1895,William Avery,1999,2002
1630555,Joel Ayayi,2021,2021
202970,Gustavo Ayon,2011,2013
201965,Jeff Ayres,2009,2015
1629028,Deandre Ayton,2018,2024
101235,Kelenna Azubuike,2006,2011
1628962,Udoka Azubuike,2020,2023
203569,Chris Babb,2013,2014
202337,Luke Babbitt,2010,2017
76079,Milos Babic,1990,1991
1628407,Dwayne Bacon,2017,2020
1630641,Ibou Badji,2022,2023
2053,Dalibor Bagaric,2000,2002
76082,John Bagley,1982,1993
1630542,Marcus Bagley,2024,2024
1628963,Marvin Bagley III,2018,2024
1641735,Amari Bailey,2023,2023
76084,Carl Bailey,1981,1981
1847,Thurl Bailey,1983,1998
1753,Toby Bailey,1998,2002
203946,Cameron Bairstow,2014,2015
1858,Mark Baker,1998,1998
2486,Maurice Baker,2002,2004
1627758,Ron Baker,2016,2018
452,Vin Baker,1993,2005
1627735,Wade Baldwin IV,2016,2018
1631116,Patrick Baldwin Jr.,2022,2024
200764,Renaldo Balkman,2006,2011
76090,Cedric Ball,1990,1990
1630163,LaMelo Ball,2020,2024
1628366,Lonzo Ball,2017,2024
1628964,Mo Bamba,2018,2024
1631094,Paolo Banchero,2022,2024
1630217,Desmond Bane,2020,2024
76093,Gene Banks,1981,1986
2556,Marcus Banks,2003,2010
76094,Ken Bannister,1984,1990
1630625,Dalano Banton,2021,2024
1627760,Cat Barber,2021,2021
2571,Leandro Barbosa,2003,2016
76097,Stephen Bardo,1991,1995
200826,J.J. Barea,2006,2019
200745,Andrea Bargnani,2006,2015
787,Charles Barkley,1984,1999
2057,Erick Barkley,2000,2002
1631230,Dominick Barlow,2022,2024
203084,Harrison Barnes,2012,2024
2440,Matt Barnes,2002,2016
1630567,Scottie Barnes,2021,2024
2857,Andre Barrett,2004,2007
1629628,RJ Barrett,2019,2024
2853,Earl Barron,2005,2014
344,Dana Barros,1989,2003
699,Brent Barry,1995,2008
1003,Drew Barry,1997,1999
468,Jon Barry,1992,2005
203115,Will Barton,2012,2022
101188,Eddie Basden,2005,2005
101138,Brandon Bass,2005,2016
1628238,Paris Bass,2021,2021
1629646,Charles Bassey,2021,2024
1766,Maceo Baston,2002,2008
2370,Mengke Bateer,2001,2003
1641734,Emoni Bates,2023,2024
1628966,Keita Bates-Diop,2018,2023
101212,Esteban Batista,2005,2006
2471,Mike Batiste,2002,2002
1499,Tony Battie,1997,2011
2203,Shane Battier,2001,2013
1642419,Jamison Battle,2024,2024
174,John Battle,1985,1994
76123,Kenny Battle,1989,1992
76124,Dave Batton,1982,1983
201587,Nicolas Batum,2008,2024
1641878,Damion Baugh,2024,2024
